,Unnamed: 0,code,最新价,最新涨跌幅,market_code,股票代码,流通a股[20100104],股票简称,dde大单净流入量[20100104],资金流向[20100104],dde大单净量[20100104],集中度90[20100104],主力资金流向[20100104],主力卖出金额[20100104],90%成本上限[20100104],主力买入金额[20100104],平均成本[20100104],资金流出inner[20100104],收盘获利[20100104],集中度70[20100104],90%成本下限[20100104],资金流入inner[20100104]
0,0.0,8,2.27,1.339,33,000008.SZ,51715710.0,神州高铁,,,,,,,,,,,,,,
1,1.0,34,22.35,3.377,33,000034.SZ,188530228.0,神州数码,,,,,,,,,,,,,,
2,2.0,55,4.86,1.674,33,000055.SZ,217405903.0,方大集团,1650479.0,29844148.0,0.75916936,8.982,17511207.0,5779527.0,3.64,23290734.0,3.33,30544524.0,72.134,5.216,3.04,60388672.0
3,3.0,12,6.94,4.048,33,000012.SZ,566884305.0,南玻A,-194483.0,7713196.0,-0.03430735,19.065,15985778.0,32582875.0,6.62,48568653.0,5.84,62907441.0,66.684,12.195,4.5,70620637.0
4,4.0,21,11.15,1.827,33,000021.SZ,878596437.0,深科技,1763775.0,36862965.0,0.20074916,12.737,30781770.0,16265814.0,8.32,47047584.0,7.66,37792093.0,56.388,8.101,6.44,74655058.0
5,5.0,65,8.91,-0.78,33,000065.SZ,162437120.0,北方国际,173192.0,5720119.0,0.10662095,19.872,8113946.0,2122547.0,7.48,10236493.0,6.46,9597719.0,99.812,15.807,5.0,15317838.0
6,6.0,70,6.1,0.164,33,000070.SZ,237694361.0,特发信息,-56536.0,3164857.0,-0.02378517,20.057,-506623.0,2962331.0,4.19,2455708.0,3.67,11439060.0,80.808,13.39,2.79,14603917.0
7,7.0,60,4.31,0.937,33,000060.SZ,1022668704.0,中金岭南,3130623.0,81668403.0,0.30612289,12.57,103686425.0,65171867.0,9.0,168858292.0,8.37,154327854.0,73.938,7.13,6.99,235996257.0
8,8.0,9,12.63,10.017,33,000009.SZ,988119857.0,中国宝安,-1585632.0,-21876087.0,-0.1604696,13.493,-20164336.0,50116474.0,5.93,29952138.0,5.32,81818233.0,11.434,10.646,4.52,59942146.0
9,9.0,150,1.4,2.941,33,000150.SZ,166964384.0,*ST宜康,-501100.0,-9727421.0,-0.30012389,10.134,-4257477.0,4616247.0,4.51,358770.0,4.1,14960162.0,22.958,7.125,3.68,5232741.0
10,10.0,99,7.2,0.982,33,000099.SZ,274027936.0,中信海直,275500.0,3891478.0,0.10053719,8.21,2556352.0,1985399.0,8.04,4541751.0,7.54,9499837.0,32.197,5.867,6.82,13391315.0
11,11.0,158,5.93,1.89,33,000158.SZ,718861000.0,常山北明,-310534.0,1718493.0,-0.04319806,21.664,-2891906.0,27874594.0,7.02,24982688.0,5.72,59779843.0,96.791,12.281,4.52,61498336.0
12,12.0,16,5.09,1.394,33,000016.SZ,599910010.0,深康佳A,-1095226.0,-12570038.0,-0.18256505,21.653,-8742340.0,15058767.0,3.68,6316427.0,3.27,30264780.0,64.031,11.215,2.37,17694742.0
13,13.0,32,14.6,5.415,33,000032.SZ,232819164.0,深桑达A,686583.0,10849349.0,0.29489969,17.933,6493784.0,2404773.0,7.76,8898557.0,6.78,14033862.0,48.367,9.792,5.4,24883211.0
14,14.0,46,1.2,2.564,33,000046.SZ,444517980.0,泛海控股,-1829603.0,-35600986.0,-0.41159257,15.659,-29394274.0,37569035.0,7.46,8174761.0,6.64,60720122.0,15.995,11.389,5.44,25119136.0
15,15.0,2,17.02,1.31,33,000002.SZ,9656094910.0,万科A,-13186788.0,-210452128.0,-0.1365644,42.424,-197820388.0,327059188.0,5.64,129238800.0,3.64,499301148.0,13.499,25.146,2.28,288849020.0
16,16.0,45,7.86,2.078,33,000045.SZ,195576412.0,深纺织A,273792.0,2636536.0,0.13999234,23.478,2408001.0,4551691.0,14.91,6959692.0,12.39,23547477.0,79.141,18.519,9.24,26184013.0
